

## Example

```yaml
game:
  dialogues:
  - order: dialogue order
    speaker: speaker name
    text: dialogue or narration
```

## Rules

* 1. Only one output per Markdown code block.
* 182. Output must be in the correct format.
* 183. Output must be in the correct format.
* 184. Output must be in the correct format.
* 185. Output must be in the correct format.
* 186. Output must be in the correct format.
* 187. Output must be in the correct format.
* 188. Output must be in the correct format.
* 189. Output must be in the correct format.
* 190. Output must be in the correct format.
* 191. Output must be in the correct format.
* 192. Output must be in the correct format.
* 193. Output must be in the correct format.
* 194. Output must be in the correct format.
* 195. Output must be in the correct format.
* 196. Output must be in the correct format.
* 197. Output must be in the correct format.
* 198. Output must be in the correct format.
* 199. Output must be in the correct format.
* 200. Output must be in the correct format.
* 201. Output must be in the correct format.
* 202. Output must be in the correct format.
* 203. Output must be in the correct format.
* 204. Output must be in the correct format.
* 205. Output must be in the correct format.
* 206. Output must be in the correct format.
* 207. Output must be in the correct format.
* 208. Output must be in the correct format.
* 209. Output must be in the correct format.
* 210. Output must be in the correct format.
* 211. Output must be in the correct format.
* 212. Output must be in the correct format.
* 213. Output must be in the correct format.
* 214. Output must be in the correct format.
* 215. Output must be in the correct format.
* 216. Output must be in the correct format.
* 217. Output must be in the correct format.
* 218. Output must be in the correct format.
* 219. Output must be in the correct format.
* 220. Output must be in the correct format.
* 221. Output must be in the correct format.
* 222. Output must be in the correct format.
* 223. Output must be in the correct format.
* 224. Output must be in the correct format.
* 225. Output must be in the correct format.
* 226. Output must be in the correct format.
* 227. Output must be in the correct format.
* 228. Output must be in the correct format.
* 229. Output must be in the correct format.
* 230. Output must be in the correct format.
* 231. Output must be in the correct format.
* 232. Output must be in the correct format.
* 233. Output must be in the correct format.
* 234. Output must be in the correct format.
* 235. Output must be in the correct format.
* 236. Output must be in the correct format.
* 237. Output must be in the correct format.
* 238. Output must be in the correct format.
* 239. Output must be in the correct format.
* 240. Output must be in the correct format.
* 241. Output must be in the correct format.
* 242. Output must be in the correct format.
* 243. Output must be in the correct format.
* 244. Output must be in the correct format.
* 245. Output must be in the correct format.
* 246. Output must be in the correct format.
* 247. Output must be in the correct format.
* 248. Output must be in the correct format.
* 249. Output must be in the correct format.
* 250. Output must be in the correct format.
* 251. Output must be in the correct format.
* 252. Output must be in the correct format.
* 253. Output must be in the correct format.
* 254. Output must be in the correct format.
* 255. Output must be in the correct format.
* 256. Output must be in the correct format.
* 257. Output must be in the correct format.
* 258. Output must be in the correct format.
* 259. Output must be in the correct format.
* 260. Output must be in the correct format.
* 261. Output must be in the correct format.
* 262. Output must be in the correct format.
* 263. Output must be in the correct format.
* 2
